id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
09206,F. Orange. juice. home made,1,Orange juice. raw (Includes foods for USDA's Food Distribution Program),,,45,1,0,10,0,88,11,0,11,17,200,1,0,0,0,0,50,0,0,0,0,0,30,6,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09226,F. Papaya,1,Papayas. raw,,,43,0,0,11,2,88,20,0,21,10,182,8,0,0,0,1,61,0,0,0,0,0,37,6,0,47,0,0,3,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09236,F. Peach,1,Peaches. yellow. raw,,,39,1,0,10,2,89,6,0,9,20,190,0,0,0,0,0,7,0,0,1,0,0,4,6,0,16,1,0,3,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09252,F. Pear,1,Pears. raw,,,57,0,0,15,3,84,9,0,7,12,116,1,0,0,0,0,4,0,0,0,0,0,7,5,0,1,0,0,4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09265,F. Persimmons,1,Persimmons. native. raw,,,127,1,0,34,0,64,27,3,0,26,310,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
09266,F. Pineapple,1,Pineapple. raw. all varieties,,,50,1,0,13,1,86,13,0,12,8,109,1,0,0,1,0,48,0,0,1,0,0,18,6,0,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09286,F. Pomegranates,1,Pomegranates. raw,,,83,2,1,19,4,78,10,0,12,36,236,3,0,0,0,1,10,0,0,0,0,0,38,8,0,0,1,0,16,0.0,0.1,0.1,0.1,0.1,0.0,0,0,0,0,0,0,0,0,0
09302,F. Raspberries,1,Raspberries. raw,,,52,1,1,12,7,86,25,1,22,29,151,1,0,0,1,0,26,0,0,1,0,0,21,12,0,2,1,0,8,0.1,0.2,0.1,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0
11477,F. Squash,1,Squash. summer. zucchini. includes skin. raw,,,17,1,0,3,1,95,16,0,18,38,261,8,0,0,0,0,18,0,0,0,0,0,24,10,0,10,0,0,4,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0
09316,F. Strawberries,1,Strawberries. raw,,,32,1,0,8,2,91,16,0,13,24,153,1,0,0,0,0,59,0,0,0,0,0,24,6,0,1,0,0,2,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11529,F. Tomato fresh,1,Tomatoes. red. ripe. raw. year round average,,,18,1,0,4,1,95,10,0,11,24,237,5,0,0,0,0,14,0,0,1,0,0,15,7,0,42,1,0,8,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09326,F. Watermelon,1,Watermelon. raw,,,30,1,0,8,0,91,7,0,10,11,112,1,0,0,0,0,8,0,0,0,0,0,3,4,0,28,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
23572,M. Beef,1,Beef. ground. 80% lean meat / 20% fat. raw,,,254,17,20,0,0,62,18,2,17,158,270,66,4,0,0,15,0,0,0,4,0,0,7,56,2,4,0,0,2,0.1,0.4,8.8,0.5,7.6,1.2,0.7,0.8,0.7,0.1,0.4,1.3,0.8,1.4,0.6
13327,M. Beef liver,1,Beef. variety meats and by-products. liver. cooked. pan-fried,,,175,27,5,5,0,62,6,6,22,485,351,77,5,15,0,33,1,0,3,17,7,1,260,418,83,7744,0,1,4,0.0,0.0,1.1,1.0,2.5,0.3,1.4,1.6,1.1,0.3,0.7,2.4,1.2,2.0,0.8
05096,M. Chicken thighs bio,1,Chicken. broilers or fryers. dark meat. thigh. meat only. raw,,,121,20,4,0,0,76,7,1,23,185,242,95,2,0,0,23,0,0,0,6,0,0,4,54,1,7,0,0,3,0.0,0.7,1.5,0.9,1.1,0.0,0.8,1.0,0.9,0.2,0.6,1.7,0.9,1.9,0.6
05314,M. Chicken. skin-boneless. 3g f,1,Chicken. broilers or fryers. breast. skinless. boneless. meat only. with added solution. raw,,,108,20,3,0,0,76,5,0,25,198,332,173,1,0,0,26,0,0,0,8,1,1,8,74,0,11,0,0,0,0.0,0.3,0.7,0.4,0.5,0.0,0.8,1.0,0.9,0.2,0.5,1.6,1.0,1.9,0.7
15015,M. Cod,1,Fish. cod. Atlantic. raw,,,82,18,1,0,0,81,16,0,32,203,413,54,0,0,0,33,1,0,0,2,0,0,7,65,1,12,1,1,0,0.0,0.0,0.1,0.2,0.1,0,0.7,0.9,0.8,0.2,0.5,1.4,0.8,1.6,0.5
15143,M. Crab,1,Crustaceans. crab. dungeness. raw,,,86,17,1,1,0,79,46,0,45,182,354,295,4,1,0,37,4,0,0,3,0,0,44,0,9,27,0,0,0,0,0,0.2,0.3,0.1,0,0.7,0.8,0.7,0.2,0.5,1.4,0.8,1.5,0.4
01123,M. Eggs,1,Egg. whole. raw. fresh,,,143,13,10,1,0,76,56,2,12,198,138,142,1,0,0,31,0,0,0,0,2,0,47,294,1,160,1,2,0,0,2,4,2,3,0,1,1,1,0,0,1,1,1,0
15033,M. Haddock,1,Fish. haddock. raw,,,74,16,0,0,0,83,11,0,21,227,286,213,0,0,0,26,0,0,0,3,0,0,12,65,2,17,0,1,0,0.0,0.0,0.1,0.2,0.1,0.0,0.7,1.0,0.8,0.2,0.6,1.5,0.9,1.7,0.6
15041,M. Herring,1,Fish. herring. Atlantic. pickled,,,262,14,18,10,0,55,77,1,8,89,69,870,1,0,0,59,0,0,0,3,0,0,2,104,4,258,2,3,0,0.0,0.2,11.9,1.7,2.4,0,0.6,0.7,0.6,0.2,0.4,1.2,0.7,1.3,0.4
15046,M. Mackarel,1,Fish. mackerel. Atlantic. raw,,,205,19,14,0,0,64,12,2,76,217,314,90,1,0,0,44,0,0,0,9,1,0,1,65,9,50,2,16,5,0.2,0.2,5.5,3.4,3.3,0,0.7,1.0,0.8,0.2,0.6,1.5,0.9,1.7,0.5
15164,M. Mussels,1,Mollusks. mussel. blue. raw,,,86,12,2,4,0,81,26,4,34,197,320,286,2,0,3,45,8,0,0,2,1,0,42,65,12,48,1,0,0,0.0,0.0,0.5,0.6,0.4,0,0.4,0.5,0.5,0.1,0.3,0.8,0.5,0.9,0.2
15245,M. Oysters,1,Mollusks. oyster. eastern. farmed. raw,,,59,5,2,6,0,86,44,6,33,93,124,178,38,1,0,64,5,0,0,1,0,0,18,0,16,8,0,0,0,0.0,0.0,0.2,0.6,0.4,0,0.2,0.2,0.2,0.1,0.1,0.4,0.2,0.4,0.1
10972,M. Pork,1,Pork. ground. 84% lean / 16% fat. raw,,,218,18,16,0,0,65,15,1,16,161,244,68,2,0,0,30,0,0,0,6,1,1,2,62,1,0,0,0,0,0.1,1.8,6.7,2.1,4.9,0.1,0.8,0.9,0.8,0.2,0.5,1.4,0.8,1.5,0.7
10110,M. Pork liver,1,Pork. fresh. variety meats and by-products. liver. raw,,,134,21,4,2,0,71,9,23,18,288,273,87,6,1,0,53,25,0,3,15,7,1,212,0,26,6502,0,0,0,0.0,0.4,0.5,0.9,1.2,0,1.0,1.3,0.9,0.3,0.5,1.9,1.1,1.6,0.6
15077,M. Salmon (smoked),1,Fish. salmon. chinook. smoked,,,117,18.28,4.32,0,0,72,11,0.85,18,164,175,672,0.31,0.23,0.017,32.4,0,0.023,0.101,4.72,0.87,0.278,2,89,3.26,26,1.35,17.1,0.1,0,0.472,2.023,0.995,0.929,0,0.714,0.942,0.801,0.205,0.541,1.486,0.842,1.679,0.538
15076,M. Salmon. 5g f (frozen),1,Fish. salmon. Atlantic. wild. raw,,,142,20,6,0,0,69,12,1,29,200,490,44,1,0,0,37,0,0,0,8,2,1,25,0,3,12,0,0,0,0.3,0.2,2.1,2.5,1.0,0,0.8,1.0,0.9,0.2,0.6,1.6,0.9,1.8,0.6
15088,M. Sardines (in oil),1,Fish. sardine. Atlantic. canned in oil. drained solids with bone,,,208,25,11,0,0,60,382,3,39,490,397,307,1,0,0,53,0,0,0,5,1,0,10,75,9,32,2,5,3,0.5,3.5,3.9,5.1,1.5,0,1.0,1.3,1.1,0.3,0.7,2.0,1.1,2.3,0.7
15270,M. Shrimp,1,Crustaceans. shrimp. raw,,,85,20,1,0,0,78,64,1,35,214,264,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.1,0.0,0,0,0,0,0,0,0,0,0
15110,M. Swordfish (fresh),1,Fish. swordfish. raw,,,144,20,7,0,0,73,5,0,29,255,418,81,1,0,0,57,0,0,0,8,0,1,2,65,2,36,2,14,0,0.0,0.1,3.0,1.1,1.6,0.0,0.8,1.0,0.9,0.2,0.6,1.6,0.9,1.8,0.6
