id,supplier,name,active,description,category,timestamp,usda_id,price_per_kg,price_per_unit,usda_weight_unit_g,weight_net_g,price_total,organic,origin,picture
wi168153/ah-ijsbergsla-voordeel,NL ah,AH IJsbergsla voordeel 400 g,1,,Aardappel. groente. fruit/IJsbergsla gesneden,0,11252,4.48,,0,400,1.79,,,https://static.ah.nl/static/product/AHI_434d50323038383734_6_LowRes_JPG.JPG
40937BAK,NL jumbo,Jumbo Druiven Rood Pitloos 500g,1,,Fruit,0,09132,4.3,,0,500,2.15,,,https://static-images.jumbo.com/product_images/40937BAK-1_720x720.png
wi111733/ah-kipdrumsticks,NL ah,AH Kipdrumsticks 1 kg,1,,Vlees. kip. vis. vega/Kipdrumsticks,0,05096,4.29,,0,1,4.29,,,https://static.ah.nl/static/product/AHI_434d50323332333831_3_LowRes_JPG.JPG
187039BLK,NL jumbo,Del Monte Mangoschijven op Lichte Siroop 425g,1,,Fruit,0,09176,4.16,,0,425,1.77,,,https://static-images.jumbo.com/product_images/187039BLK-1_720x720.png
wi202662/inproba-gehakte-knoflook,NL ah,Inproba Gehakte knoflook 200 g,1,,Aardappel. groente. fruit/Knoflook (in pot),0,11215,4.15,,0,200,0.83,,,https://static.ahold.com/cmgtcontent/media//001216100/000/001216132_001_202662_708.jpg
212959ZK,NL jumbo,Jumbo Blauwe Bessen 750g,1,,Diepvries,0,09050,3.99,,0,750,2.99,,,https://static-images.jumbo.com/product_images/010920180911_212959ZK-1_720x720.png
212958ZK,NL jumbo,Jumbo Frambozen 750g,1,,Diepvries,0,09302,3.99,,0,750,2.99,,,https://static-images.jumbo.com/product_images/200920180701_212958ZK-1_720x720.png
wi222036/planta-boter-smeerbaar-classic,NL ah,Planta Boter smeerbaar classic 500 g,1,,Zuivel. eieren/Ongezouten roomboter,0,01145,3.9,,0,500,1.95,,,https://static.ahold.com/cmgtcontent/media//001095900/000/001095972_001_222036_708.jpg
wi426846/ah-buitenbeentjes-avocado-s,NL ah,AH Buitenbeentjes avocado's 1 kg,1,,Aardappel. groente. fruit/Avocado,0,09037,3.79,,0,1,3.79,,,https://static.ah.nl/static/product/AHI_434d5038363831343935_1_LowRes_JPG.JPG
wi103191/ah-mosselgroente,NL ah,AH Mosselgroente 400 g,1,,Vlees. kip. vis. vega/Mosselgroente,0,15164,3.73,,0,400,1.49,,,https://static.ah.nl/static/product/AHI_434d50313631343834_5_LowRes_JPG.JPG
