"id","name","sub_category"
"10762931","Melkan weidekaas jong","Stukken kaas"
"10760504","Uniekaas jong belegen kaas","Stukken kaas"
"10760130","Old Amsterdam oude kaas","Stukken kaas"
"10568981","Milner belegen kaas 30+ stuk","Stukken kaas"
"10761841","Jong belegen geitenkaas 50+","Stukken kaas"
"10760618","Melkan jonge kaas plakken","Plakken kaas"
"10760358","Hollandse jong belegen kaas plakken","Plakken kaas"
"10762051","Beemster belegen kaas plakken 48+","Plakken kaas"
"10761906","Beemster oude kaas plakken","Plakken kaas"
"10565973","Milner jong belegen kaas 30+ plakken","Plakken kaas"
"10761844","Picnic geitenkaas jong belegen","Plakken kaas"
"10761956","Eru smeerkaas goudkuipje naturel","Smeerkaas & zuivelspread"
"10560166","Bon Appetit smeerkaas naturel 48+","Smeerkaas & zuivelspread"
"10768502","Paturain kruidenkaas met knoflook","Smeerkaas & zuivelspread"
"10761046","Philadelphia zuivelspread naturel","Smeerkaas & zuivelspread"
"10618858","Danone hüttenkäse","Smeerkaas & zuivelspread"
"10760716","Boursin cuisine knoflook & kruiden","Smeerkaas & zuivelspread"
"10760874","Melkan geraspte jong belegen kaas 30+","Geraspte kaas & blokjes"
"10761954","Geraspte milde kaas","Geraspte kaas & blokjes"
"10760872","Melkan geraspte oude kaas","Geraspte kaas & blokjes"
"10760905","Parrano geraspte kaas","Geraspte kaas & blokjes"
"10760870","Melkan jong belegen kaasblokjes","Geraspte kaas & blokjes"
"10760236","Babybel mini kaas","Geraspte kaas & blokjes"
"10762990","Parmezaanse kaas","Kook- & saladekazen"
"10503669","Griekse feta kaas","Kook- & saladekazen"
"10765597","Mozzarella","Kook- & saladekazen"
"10762914","Plakken cheddar kaas","Kook- & saladekazen"
"10760147","Galbani mascarpone","Kook- & saladekazen"
"10760158","Galbani Italiaanse ricotta","Kook- & saladekazen"
"10767262","Président romige brie 60+","Buitenlandse kazen"
"10761869","Gorgonzola smeuig blauwgeaderd","Buitenlandse kazen"
"11298368","Port salut","Buitenlandse kazen"
"10761861","Zachte geitenkaas met honing","Buitenlandse kazen"
"10772979","Pecorino","Buitenlandse kazen"
"10762999","Manchego milde Spaanse schapenkaas","Buitenlandse kazen"
"10761152","Maza hoemoes naturel","Hummus & broodsalades"
"10754990","Johma tonijnsalade","Hummus & broodsalades"
"10760657","Kip kerrie salade vers","Hummus & broodsalades"
"10768581","Johma beenhamsalade","Hummus & broodsalades"
"10760669","Scharrelei bieslook salade vers","Hummus & broodsalades"
