id,supplier,name,active,description,category,timestamp,usda_id,price_per_kg,price_per_unit,usda_weight_unit_g,weight_net_g,price_total,organic,origin,picture
wi100171,NL ah,Kellogg's All-bran Fruit 'n fibre 500 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Granola (fruit),,08037,6.98,,,500 g,3.49,,,https://static.ah.nl/static/product/AHI_434d50343732393032_2_LowRes_JPG.JPG
wi395938,NL ah,AH Biologisch Pompoen 400 g ,1,,Aardappel. groente. fruit/Pompoen (vers),,11477,6.975,,,400 g,2.79,,,https://static.ah.nl/static/product/AHI_434d50323538323836_3_LowRes_JPG.JPG
wi395962,NL ah,AH Wortelen en peulen 400 g ,1,,Aardappel. groente. fruit/Wortelen (vers),,11124,6.975,,,400 g,2.79,,,https://static.ah.nl/static/product/AHI_434d50323539373131_3_LowRes_JPG.JPG
wi3869/a,NL ah,AH Sour cream 125 g ,1,,Zuivel. eieren/Zure room,,01056,6.96,,,125 g,0.87,,,https://static.ah.nl/static/product/AHI_434d50313532343936_1_LowRes_JPG.JPG
wi104073,NL ah,AH IJsbergsla met tuinkruiden 200 g ,1,,Aardappel. groente. fruit/IJsbergsla (melange),,11252,6.95,,,200 g,1.39,,,https://static.ah.nl/static/product/AHI_434d50323038383831_2_LowRes_JPG.JPG
wi216239,NL ah,Kri Kri Griekse schapenyoghurt 170 g ,1,,Zuivel. eieren/Griekse yoghurt naturel,,01287,6.941176471,,,170 g,1.18,,,https://static.ahold.com/cmgtcontent/media//001704600/000/001704644_002_216239_708.jpg
wi415348,NL ah,Zeelands Roem Mosselen in natuurazijn msc 370 ml ,1,,Soepen. conserven. sauzen. smaakmakers/Mosselen (conserven),,15164,6.918918919,,,370 ml,2.56,,,https://static.ahold.com/cmgtcontent/media//001743700/000/001743752_001_415348_708.jpg
wi413610,NL ah,AH Biologisch 100% pindakaas naturel 350 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Pindakaas,,16398,6.914285714,,,350 g,2.42,,,https://static.ah.nl/static/product/AHI_434d50363030343936_1_LowRes_JPG.JPG
wi417123,NL ah,Quaker Super grains blueberry-cranberry 400 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Havermout (regular),,08120,6.875,,,400 g,2.75,,,https://static.ah.nl/static/product/AHI_4354525f36303035323033_1_LowRes_JPG.JPG
wi442103,NL ah,AH Gyros kapsalon pasta 600 g ,1,,Vlees. kip. vis. vega/Gyros,,10972,6.833333333,,,600 g,4.1,,,https://static.ah.nl/static/product/AHI_43545236313937373532_1_LowRes_JPG.JPG
wi434477,NL ah,Bonduelle Edamame bonen 300 g ,1,,Aardappel. groente. fruit/Peultjes (diepvries),,11211,6.833333333,,,300 g,2.05,,,https://static.ahold.com/cmgtcontent/media//001913300/000/001913312_002_434477_708.jpg
wi368919,NL ah,Loriana La Piadina Arrotolabile 300 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.833333333,,,300 g,2.05,,,https://static.ah.nl/static/product/AHI_434d50323534313232_1_LowRes_JPG.JPG
wi368920,NL ah,Loriana La Piadina Arrotolabile all olio d'oliva 300 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.833333333,,,300 g,2.05,,,https://static.ah.nl/static/product/AHI_43545236313834343135_1_LowRes_JPG.JPG
wi128527,NL ah,LoSalt Mineraalzout met jodium 350 g ,1,,Soepen. conserven. sauzen. smaakmakers/Zout (diverse),,02047,6.828571429,,,350 g,2.39,,,https://static.ah.nl/static/product/AHI_434d50303436353138_1_LowRes_JPG.JPG
wi444853,NL ah,AH Hummus cottage cheese 150 g ,1,,Kaas. vleeswaren. delicatessen/Huttenkase,,01012,6.8,,,150 g,1.02,,,https://static.ah.nl/static/product/AHI_43545236313838323936_1_LowRes_JPG.JPG
