id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
16016,Black beans,1,Beans. black turtle. mature seeds. raw,,,339,21.25,0.9,63.25,15.5,11,160,8.7,160,440,1500,9,2.2,1,,1,3.2,0,0.9,0.193,1.955,0.899,0.286,444,0,0,0,0.21,0,5.6,0.176,0.211,0.078,0.387,0.232,0,1.149,1.112,0.894,0.252,0.32,1.697,0.938,1.459,0.592
18053,Bread. rye,1,Bread. reduced-calorie. rye,,,203,9.1,2.9,40.5,12,46,76,3.1,22,78,98,513,0.66,0.133,,0.453,27.9,0.4,0.367,0.24,2.527,0.297,0.077,58,14.6,0.04,0,0.28,0,0.6,0.041,0.71,0.672,0.752,0.368,0,0.457,0.415,0.284,0.11,0.155,0.638,0.357,0.321,0.208
18075,Bread. whole-wheat,1,Bread. whole-wheat. commercially prepared,,,252,12.45,3.5,42.71,6,39.01,161,2.47,75,212,254,455,1.77,0.227,,2.174,25.7,0,0.394,0.167,4.438,0.646,0.215,42,27.2,0,0,2.66,0,7.8,0.139,1.446,0.62,1.592,0.722,0.02,0,0,0,0,0,0,0,0,0
20012,Bulgur,1,Bulgur. dry,,,342,12.29,1.33,75.87,12.5,9,35,2.46,164,300,410,17,1.93,0.335,,3.048,2.3,0,0.232,0.115,5.114,1.045,0.342,27,28.1,0,0,0.06,0,1.9,0.023,0.518,0.173,0.541,0.232,0,0.58,0.554,0.354,0.19,0.19,0.83,0.455,0.339,0.285
16056,Chickpeas (garbanzo),1,Chickpeas (garbanzo beans. bengal gram). mature seeds. raw,,,378,20.47,6.04,62.95,12.2,7.68,57,4.31,79,252,718,24,2.76,0.656,,21.306,0,4,0.477,0.212,1.541,1.588,0.535,557,99.3,0,3,0.82,0,9,0.102,2.629,1.377,2.731,0.603,0,1.103,0.865,0.766,0.2,0.27,1.465,0.882,1.377,0.566
18363,Corn tortilla,1,Tortillas. ready-to-bake or -fry. corn,,,218,5.7,2.85,44.64,6.3,45.89,81,1.23,72,314,186,45,1.31,0.154,,0.326,6.1,0,0.094,0.065,1.498,0.109,0.219,5,13.3,0,0,0.28,0,0,0.034,1.385,0.692,1.419,0.453,0,0.285,0.294,0.218,0.042,0.121,0.711,0.208,0.163,0.177
20028,Couscous,1,Couscous. dry,,,376,12.76,0.64,77.43,5,8.56,24,1.08,44,170,166,10,0.83,0.247,,0.78,0,0,0.163,0.078,3.49,1.243,0.11,20,0,0,0,0,0,0,0.012,0.24,0.089,0.252,0.117,0,0.62,0.544,0.337,0.163,0.199,0.872,0.493,0.245,0.259
16062,Cowpeas,1,Cowpeas. common (blackeyes. crowder. southern). mature seeds. raw,,,336,23.52,1.26,60.03,10.6,11.95,110,8.27,184,424,1112,16,3.37,0.845,,1.528,9,1.5,0.853,0.226,2.075,1.496,0.357,633,94.7,0,3,0.39,0,5,0.199,0.343,0.106,0.542,0.331,0,1.373,1.121,0.895,0.29,0.335,1.802,0.956,1.591,0.73
08037,Granola cereals,1,Cereals ready-to-eat. granola. homemade,,,489,13.67,24.31,53.88,8.9,5.84,76,3.95,168,431,539,26,4.17,0.647,,3.996,25.4,1.2,0.548,0.354,2.739,0.752,0.37,84,49.2,0,1,11.1,0,5.3,0.611,7.194,10.951,7.809,3.957,0.023,0.668,0.698,0.479,0.186,0.225,0.977,0.546,0.631,0.349
16027,Kidney beans,1,Beans. kidney. all types. mature seeds. raw,,,333,23.58,0.83,60.01,24.9,11.75,143,8.2,140,407,1406,24,2.79,0.958,,1.021,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394,0,0,0,0.22,0,19,0.279,0.178,0.064,0.457,0.12,0,1.275,1.233,0.992,0.279,0.355,1.882,1.041,1.618,0.656
16070,Lentils. cooked,1,Lentils. mature seeds. cooked. boiled. without salt,,,116,9.02,0.38,20.13,7.9,69.64,19,3.33,36,180,369,2,1.27,0.251,,0.494,2.8,1.5,0.169,0.073,1.06,0.638,0.178,181,32.7,0,0,0.11,0,1.7,0.037,0.137,0.064,0.175,0.053,0,0.445,0.448,0.323,0.081,0.077,0.654,0.39,0.63,0.254
16074,Lima beans,1,Lima beans. thin seeded (baby). mature seeds. raw,,,335,20.62,0.93,62.83,20.6,12.07,81,6.19,188,370,1403,13,2.6,0.665,,1.686,7,0,0.574,0.218,1.712,1.265,0.327,400,0,0,0,0.7,0,5.9,0.129,0.292,0.084,0.42,0.219,0,1.188,1.24,0.891,0.244,0.261,1.778,1.085,1.382,0.63
08120,Oats cereals,1,Cereals. oats. regular and quick. not fortified. dry,,,379,13.15,6.52,67.7,10.1,10.84,52,4.25,138,410,362,6,3.64,0.391,,3.63,28.9,0,0.46,0.155,1.125,1.12,0.1,32,40.4,0,0,0.42,0,2,0.1,2.2,1.98,2.3,1.11,0,0.665,0.688,0.382,0.182,0.207,0.98,0.503,0.637,0.275
20420,Pasta,1,Pasta. dry. unenriched,,,371,13.04,1.51,74.67,3.2,9.9,21,1.3,53,189,223,6,1.41,0.289,,0.917,63.2,0,0.09,0.06,1.7,0.431,0.142,18,0,0,0,0.11,0,0.1,0.024,0.54,0.171,0.564,0.277,0,0.668,0.588,0.462,0.185,0.147,0.988,0.511,0.298,0.298
16042,Pinto beans,1,Beans. pinto. mature seeds. raw (Includes foods for USDA's Food Distribution Program),,,347,21.42,1.23,62.55,15.5,11.33,113,5.07,176,411,1393,12,2.28,0.893,,1.148,27.9,6.3,0.713,0.212,1.174,0.785,0.474,525,66.2,0,0,0.21,0,5.6,0.237,0.17,0.229,0.407,0.235,0,1.095,0.998,0.81,0.237,0.259,1.558,0.871,1.356,0.556
20035,Quinoa,1,Quinoa. uncooked,,,368,14.12,6.07,64.16,7,13.28,47,4.57,197,457,563,5,3.1,0.59,,2.033,8.5,0,0.36,0.318,1.52,0.772,0.487,184,70.2,0,1,2.44,0,0,0.26,2.977,1.613,3.292,0.706,0,0.593,0.594,0.421,0.167,0.309,0.84,0.504,0.766,0.407
20041,Rice. Brown 25g c,1,Rice. brown. medium-grain. cooked (Includes foods for USDA's Food Distribution Program),,,112,2.32,0.83,23.51,1.8,72.96,10,0.53,44,77,79,1,0.62,0.081,,1.097,0,0,0.102,0.012,1.33,0.392,0.149,4,0,0,0,0,0,0,0.013,0.283,0.3,0.296,0.165,0,0.119,0.136,0.085,0.03,0.052,0.191,0.098,0.088,0.059
20452,Rice. white 80g c,1,Rice. white. short-grain. raw. unenriched,,,358,6.5,0.52,79.15,0,13.29,3,0.8,23,95,76,1,1.1,0.21,,1.037,0,0,0.07,0.048,1.6,1.287,0.171,6,0,0,0,0,0,0,0.024,0.114,0.161,0.138,0.14,0,0.348,0.397,0.233,0.075,0.153,0.538,0.281,0.235,0.153
16108,Soybeans,1,Soybeans. mature seeds. raw,,,446,36.49,19.94,30.16,9.3,8.54,277,15.7,280,704,1797,2,4.89,1.658,,2.517,17.8,6,0.874,0.87,1.623,0.793,0.377,375,115.9,0,1,0.85,0,47,1.33,9.925,4.404,11.255,2.884,0,2.122,2.029,1.766,0.591,0.547,3.309,1.971,2.706,1.097
16427,Tofu,1,Tofu. raw. regular. prepared with calcium sulfate,,,76,8.08,4.78,1.87,0.3,84.55,350,5.36,30,97,121,7,0.8,0.193,,0.605,8.9,0.1,0.081,0.052,0.195,0.068,0.047,15,28.8,0,0,0.01,0,2.4,0.319,2.38,1.056,2.699,0.691,0,0.428,0.446,0.402,0.12,0.108,0.713,0.435,0.452,0.221
18450,Wheat tortilla,1,Tortillas. ready-to-bake or -fry. flour. without added calcium,,,325,8.7,7.1,55.6,3.3,26.8,39,3.3,26,124,131,478,0.71,0.267,,0.462,23.4,0,0.531,0.293,3.572,0.582,0.05,123,0,0,0,0,0,0,0.054,1.009,3.768,1.063,1.745,0,0.435,0.356,0.245,0.106,0.155,0.6,0.307,0.213,0.195
11046,White beans,1,Beans. navy. mature seeds. sprouted. raw,,,67,6.15,0.7,13.05,0,79.15,15,1.93,101,100,307,13,0.89,0.356,,0.408,0.6,18.8,0.39,0.215,1.22,0.825,0.191,132,0,0,0,0,0,0,0.26,0.147,0.052,0.407,0.085,0,0.31,0.316,0.258,0.064,0.064,0.442,0.273,0.35,0.172
01012,Cheese cottage,1,Cheese. cottage. creamed. large or small curd,,,98,11.12,4.3,3.38,0,79.79,83,0.07,8,159,104,315,0.4,0.029,,0.002,9.7,0,0.027,0.163,0.099,0.557,0.046,12,18.4,0.43,37,0.08,0.1,0,0.017,0.105,0.778,0.123,1.718,0,0.577,0.748,0.5,0.147,0.269,1.116,0.591,0.934,0.326
01017,Cheese cream,1,Cheese. cream,,,350,6.15,34.44,5.52,0,52.62,97,0.11,9,107,132,314,0.5,0.018,,0.011,8.6,0,0.023,0.23,0.091,0.517,0.056,9,26.8,0.22,308,0.86,0,2.1,0.131,1.212,8.907,1.483,20.213,1.173,0.291,0.395,0.233,0.069,0.191,0.657,0.324,0.567,0.175
43597,Cheese. Mozarella,1,Cheese. mozzarella. low sodium,,,280,27.5,17.1,3.1,0,49.9,731,0.25,26,524,95,16,3.13,0.027,,0,15.7,0,0.02,0.34,0.12,0,0.08,9,18.4,0.92,137,0.15,0.3,1.8,0.15,0.36,4.844,0.509,10.867,0,0,0,0,0,0,0,0,0,0
01287,Greek yogurt,1,Yogurt. Greek. plain. lowfat,,,73,9.95,1.92,3.94,0,83.56,115,0.04,11,137,141,34,0.6,0.021,,0.007,12.4,0.8,0.044,0.233,0.197,0.47,0.055,12,15.2,0.52,90,0.04,0,0.2,0.007,0.065,0.486,0.076,1.23,0.06,0.286,0.434,0.216,0.03,0.155,0.529,0.286,0.471,0.13
01175,Milk. lowfat 1g f,1,Milk. fluid. 1% fat. without added vitamin A and vitamin D,,,42,3.37,0.97,4.99,0,89.92,125,0.03,11,95,150,44,0.42,0.01,,0.003,3.3,0,0.02,0.185,0.093,0.361,0.037,5,17.7,0.47,14,0.01,0,0.1,0.004,0.03,0.277,0.035,0.633,0,0.174,0.22,0.143,0.043,0.088,0.319,0.174,0.282,0.101
01056,Sour cream,1,Cream. sour. cultured,,,198,2.44,19.35,4.63,0,73.07,101,0.07,10,76,125,31,0.33,0.018,,0.015,3.7,0.9,0.02,0.168,0.093,0.472,0.041,6,19.2,0.21,124,0.38,0,1.5,0.074,0.648,4.594,0.8,10.14,0.796,0.157,0.195,0.142,0.042,0.078,0.322,0.163,0.275,0.092
01118,Yogurt,1,Yogurt. plain. skim milk,,,56,5.73,0.18,7.68,0,85.23,199,0.09,19,157,255,77,0.97,0.015,,0.005,3.6,0.9,0.048,0.234,0.124,0.641,0.053,12,15.2,0.61,2,0,0,0.2,0.001,0.004,0.049,0.005,0.116,0,0.313,0.474,0.235,0.032,0.169,0.577,0.313,0.514,0.142
09003,Apple,1,Apples. raw. with skin (Includes foods for USDA's Food Distribution Program),,,52,0.26,0.17,13.81,2.4,85.56,6,0.12,5,11,107,1,0.04,0.027,,0.035,0,4.6,0.017,0.026,0.091,0.061,0.041,3,3.4,0,3,0.18,0,2.2,0.009,0.043,0.007,0.051,0.028,0,0.006,0.012,0.006,0.001,0.001,0.013,0.006,0.012,0.005
09021,Apricots,1,Apricots. raw,,,48,1.4,0.39,11.12,2,86.35,13,0.39,10,23,259,1,0.2,0.078,,0.077,0.1,10,0.03,0.04,0.6,0.24,0.054,9,2.8,0,96,0.89,0,3.3,0,0.077,0.17,0.077,0.027,0,0.052,0.047,0.047,0.015,0.006,0.077,0.041,0.097,0.027
09037,Avocados,1,Avocados. raw. all commercial varieties,,,160,2,14.66,8.53,6.7,73.23,12,0.55,29,52,485,7,0.64,0.19,,0.142,0.4,10,0.067,0.13,1.738,1.389,0.257,81,14.2,0,7,2.07,0,21,0.125,1.674,9.799,1.816,2.126,0,0.097,0.107,0.073,0.025,0.038,0.143,0.084,0.132,0.049
09040,Banana,1,Bananas. raw,,,89,1.09,0.33,22.84,2.6,74.91,5,0.26,27,22,358,1,0.15,0.078,,0.27,1,8.7,0.031,0.073,0.665,0.334,0.367,20,9.8,0,3,0.1,0,0.5,0.027,0.046,0.032,0.073,0.112,0,0.049,0.047,0.028,0.009,0.008,0.068,0.028,0.05,0.077
09050,Blueberries,1,Blueberries. raw,,,57,0.74,0.33,14.49,2.4,84.21,6,0.28,6,12,77,1,0.16,0.057,,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6,6,0,3,0.57,0,19.3,0.058,0.088,0.047,0.146,0.028,0,0.026,0.031,0.02,0.003,0.012,0.044,0.023,0.013,0.011
09181,Cantalupe,1,Melons. cantaloupe. raw,,,34,0.84,0.19,8.16,0.9,90.15,9,0.21,12,15,267,16,0.18,0.041,,0.041,0.4,36.7,0.041,0.019,0.734,0.105,0.072,21,7.6,0,169,0.05,0,2.5,0.046,0.035,0.003,0.081,0.051,0,0.023,0.033,0.017,0.002,0.012,0.029,0.021,0.03,0.015
09078,Cranberries,1,Cranberries. raw,,,46,0.46,0.13,11.97,3.6,87.32,8,0.23,6,11,80,2,0.09,0.056,,0.267,0.1,14,0.012,0.02,0.101,0.295,0.057,1,5.5,0,3,1.32,0,5,0.022,0.033,0.018,0.055,0.008,0,0.036,0.045,0.028,0.003,0.003,0.053,0.033,0.039,0.018
09089,Figs,1,Figs. raw,,,74,0.75,0.3,19.18,2.9,79.11,35,0.37,17,14,232,1,0.15,0.07,,0.128,0.2,2,0.06,0.05,0.4,0.3,0.113,6,4.7,0,7,0.11,0,4.7,0,0.144,0.066,0.144,0.06,0,0.018,0.028,0.024,0.006,0.006,0.033,0.023,0.03,0.011
09132,Grapes,1,Grapes. red or green (European type. such as Thompson seedless). raw,,,69,0.72,0.16,18.1,0.9,80.54,10,0.36,7,20,191,2,0.07,0.127,,0.071,0.1,3.2,0.069,0.07,0.188,0.05,0.086,2,5.6,0,3,0.19,0,14.6,0.011,0.037,0.007,0.048,0.054,0,0.019,0.022,0.022,0.011,0.009,0.022,0.011,0.027,0.022
09148,Kiwi,1,Kiwifruit. green. raw,,,61,1.14,0.52,14.66,3,83.07,34,0.31,17,34,312,3,0.14,0.13,,0.098,0.2,92.7,0.027,0.025,0.341,0.183,0.063,25,7.8,0,4,1.46,0,40.3,0.042,0.246,0.047,0.287,0.029,0,0.044,0.057,0.047,0.015,0.024,0.066,0.051,0.061,0.027
09218,Mandarin oranges,1,Tangerines. (mandarin oranges). raw,,,53,0.81,0.31,13.34,1.8,85.17,37,0.15,12,20,166,2,0.07,0.042,,0.039,0.1,26.7,0.058,0.036,0.376,0.216,0.078,16,10.2,0,34,0.2,0,0,0.018,0.048,0.06,0.065,0.039,0,0.018,0.021,0.016,0.002,0.002,0.028,0.017,0.032,0.011
09176,Mango,1,Mangos. raw,,,60,0.82,0.38,14.98,1.6,83.46,11,0.16,10,14,168,1,0.09,0.111,,0.063,0.6,36.4,0.028,0.038,0.669,0.197,0.119,43,7.6,0,54,0.9,0,4.2,0.051,0.019,0.14,0.071,0.092,0,0.027,0.042,0.031,0.013,0.008,0.05,0.029,0.066,0.019
09184,Melons,1,Melons. honeydew. raw,,,36,0.54,0.14,9.09,0.8,89.82,6,0.17,10,11,228,18,0.09,0.024,,0.027,0.7,18,0.038,0.012,0.418,0.155,0.088,19,7.6,0,3,0.02,0,2.9,0.033,0.026,0.003,0.059,0.038,0,0.015,0.018,0.013,0.005,0.005,0.016,0.013,0.018,0.005
09193,Olives. black,1,Olives. ripe. canned (small-extra large),,,116,0.84,10.9,6.04,1.6,79.99,88,6.28,4,3,8,735,0.22,0.251,,0.02,0.9,0.9,0.003,0,0.037,0.015,0.009,0,10.3,0,17,1.65,0,1.4,0,0.629,7.652,0.629,2.279,0,0.029,0.038,0.026,0,0.012,0.05,0.031,0.032,0.023
09195,Olives. green,1,Olives. pickled. canned or bottled. green,,,145,1.03,15.32,3.84,3.3,75.28,52,0.49,11,4,42,1556,0.04,0.12,,0,0.9,0,0.021,0.007,0.237,0.023,0.031,3,14.2,0,20,3.81,0,1.4,0.092,1.215,11.314,1.307,2.029,0,0,0,0,0,0,0,0,0,0
09206,Orange. juice. home made,1,Orange juice. raw (Includes foods for USDA's Food Distribution Program),,,45,0.7,0.2,10.4,0.2,88.3,11,0.2,11,17,200,1,0.05,0.044,,0.014,0.1,50,0.09,0.03,0.4,0.19,0.04,30,6.2,0,10,0.04,0,0.1,0.011,0.029,0.036,0.04,0.024,0,0.009,0.011,0.008,0.002,0.003,0.013,0.008,0.009,0.003
09226,Papaya,1,Papayas. raw,,,43,0.47,0.26,10.82,1.7,88.06,20,0.25,21,10,182,8,0.08,0.045,,0.04,0.6,60.9,0.023,0.027,0.357,0.191,0.038,37,6.1,0,47,0.3,0,2.6,0.047,0.011,0.072,0.058,0.081,0,0.009,0.01,0.011,0.008,0.002,0.016,0.008,0.025,0.005
09236,Peach,1,Peaches. yellow. raw,,,39,0.91,0.25,9.54,1.5,88.87,6,0.25,9,20,190,0,0.17,0.068,,0.061,0.1,6.6,0.024,0.031,0.806,0.153,0.025,4,6.1,0,16,0.73,0,2.6,0.002,0.084,0.067,0.086,0.019,0,0.019,0.022,0.016,0.01,0.01,0.027,0.017,0.03,0.013
09252,Pear,1,Pears. raw,,,57,0.36,0.14,15.23,3.1,83.96,9,0.18,7,12,116,1,0.1,0.082,,0.048,0.1,4.3,0.012,0.026,0.161,0.049,0.029,7,5.1,0,1,0.12,0,4.4,0.001,0.093,0.084,0.094,0.022,0,0.011,0.017,0.011,0.002,0.002,0.019,0.011,0.017,0.002
09265,Persimmons,1,Persimmons. native. raw,,,127,0.8,0.4,33.5,0,64.4,27,2.5,0,26,310,1,0,0,,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.042,0.041,0.014,0.007,0.058,0.035,0.045,0.016
09266,Pineapple,1,Pineapple. raw. all varieties,,,50,0.54,0.12,13.12,1.4,86,13,0.29,12,8,109,1,0.12,0.11,,0.927,0.1,47.8,0.079,0.032,0.5,0.213,0.112,18,5.5,0,3,0.02,0,0.7,0.017,0.023,0.013,0.04,0.009,0,0.021,0.024,0.019,0.005,0.012,0.024,0.019,0.026,0.01
09286,Pomegranates,1,Pomegranates. raw,,,83,1.67,1.17,18.7,4,77.93,10,0.3,12,36,236,3,0.35,0.158,,0.119,0.5,10.2,0.067,0.053,0.293,0.377,0.075,38,7.6,0,0,0.6,0,16.4,0,0.079,0.093,0.079,0.12,0,0,0,0,0,0,0,0,0,0
09302,Raspberries,1,Raspberries. raw,,,52,1.2,0.65,11.94,6.5,85.75,25,0.69,22,29,151,1,0.42,0.09,,0.67,0.2,26.2,0.032,0.038,0.598,0.329,0.055,21,12.3,0,2,0.87,0,7.8,0.126,0.249,0.064,0.375,0.019,0,0,0,0,0,0,0,0,0,0
11477,Squash,1,Squash. summer. zucchini. includes skin. raw,,,17,1.21,0.32,3.11,1,94.79,16,0.37,18,38,261,8,0.32,0.053,,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,9.5,0,10,0.12,0,4.3,0.061,0.03,0.011,0.091,0.084,0,0.043,0.054,0.029,0.01,0.018,0.071,0.044,0.067,0.026
09316,Strawberries,1,Strawberries. raw,,,32,0.67,0.3,7.68,2,90.95,16,0.41,13,24,153,1,0.14,0.048,,0.386,0.4,58.8,0.024,0.022,0.386,0.125,0.047,24,5.7,0,1,0.29,0,2.2,0.065,0.09,0.043,0.155,0.015,0,0.019,0.019,0.02,0.008,0.002,0.034,0.016,0.026,0.012
11529,Tomato fresh,1,Tomatoes. red. ripe. raw. year round average,,,18,0.88,0.2,3.89,1.2,94.52,10,0.27,11,24,237,5,0.17,0.059,,0.114,0,13.7,0.037,0.019,0.594,0.089,0.08,15,6.7,0,42,0.54,0,7.9,0.003,0.08,0.031,0.083,0.028,0,0.027,0.018,0.027,0.006,0.006,0.025,0.018,0.027,0.014
09326,Watermelon,1,Watermelon. raw,,,30,0.61,0.15,7.55,0.4,91.45,7,0.24,10,11,112,1,0.1,0.042,,0.038,0.4,8.1,0.033,0.021,0.178,0.221,0.045,3,4.1,0,28,0.05,0,0.1,0,0.05,0.037,0.05,0.016,0,0.015,0.016,0.027,0.007,0.006,0.018,0.019,0.062,0.006
23572,Beef,1,Beef. ground. 80% lean meat / 20% fat. raw,,,254,17.17,20,0,0,61.87,18,1.94,17,158,270,66,4.18,0.061,,0.01,15,0,0.043,0.151,4.227,0.498,0.323,7,56.4,2.14,4,0.17,0.1,1.8,0.065,0.42,8.848,0.521,7.581,1.18,0.67,0.844,0.665,0.087,0.442,1.339,0.759,1.423,0.558
13327,Beef liver,1,Beef. variety meats and by-products. liver. cooked. pan-fried,,,175,26.52,4.68,5.16,0,62.01,6,6.17,22,485,351,77,5.23,14.588,,0.356,32.8,0.7,0.177,3.425,17.475,6.943,1.027,260,418.2,83.13,7744,0.46,1.2,3.9,0.036,0,1.106,1.021,2.53,0.335,1.382,1.606,1.108,0.335,0.692,2.435,1.233,2.048,0.802
05096,Chicken thighs bio,1,Chicken. broilers or fryers. dark meat. thigh. meat only. raw,,,121,19.66,4.12,0,0,76.22,7,0.81,23,185,242,95,1.58,0.062,,0.013,22.9,0,0.088,0.196,5.557,0,0.451,4,53.6,0.61,7,0.18,0,2.9,0.036,0.748,1.497,0.94,1.097,0.02,0.785,0.956,0.93,0.222,0.562,1.675,0.939,1.855,0.587
05314,Chicken. skin-boneless. 3g f,1,Chicken. broilers or fryers. breast. skinless. boneless. meat only. with added solution. raw,,,108,20.32,3,0,0,75.59,5,0.34,25,198,332,173,0.63,0.029,,0.011,26.4,0,0.068,0.127,7.583,1.23,0.761,8,74.2,0.19,11,0.19,0,0,0.011,0.291,0.673,0.384,0.545,0.006,0.797,1.022,0.886,0.249,0.514,1.634,0.969,1.899,0.736
15015,Cod,1,Fish. cod. Atlantic. raw,,,82,17.81,0.67,0,0,81.22,16,0.38,32,203,413,54,0.45,0.028,,0.015,33.1,1,0.076,0.065,2.063,0.153,0.245,7,65.2,0.91,12,0.64,0.9,0.1,0.001,0.005,0.094,0.231,0.131,0,0.695,0.917,0.781,0.199,0.527,1.447,0.821,1.635,0.524
15143,Crab,1,Crustaceans. crab. dungeness. raw,,,86,17.41,0.97,0.74,0,79.18,46,0.37,45,182,354,295,4.27,0.674,,0.08,37.1,3.5,0.047,0.167,3.14,0.35,0.15,44,0,9,27,0,0,0,0,0,0.167,0.317,0.132,0,0.735,0.819,0.705,0.242,0.49,1.381,0.844,1.515,0.354
01123,Eggs,1,Egg. whole. raw. fresh,,,143,12.56,9.51,0.72,0,76.15,56,1.75,12,198,138,142,1.29,0.072,,0.028,30.7,0,0.04,0.457,0.075,1.533,0.17,47,293.8,0.89,160,1.05,2,0.3,0.048,1.555,3.658,1.911,3.126,0.038,0.68,0.858,0.556,0.167,0.38,1.086,0.671,0.912,0.309
15033,Haddock,1,Fish. haddock. raw,,,74,16.32,0.45,0,0,83.38,11,0.17,21,227,286,213,0.32,0.021,,0.011,25.9,0,0.02,0.057,3.363,0.403,0.281,12,65,1.83,17,0.45,0.5,0.1,0.002,0.015,0.061,0.166,0.091,0.004,0.738,0.974,0.829,0.212,0.56,1.537,0.871,1.736,0.557
15041,Herring,1,Fish. herring. Atlantic. pickled,,,262,14.19,18,9.64,0,55.22,77,1.22,8,89,69,870,0.53,0.105,,0.04,58.5,0,0.036,0.139,3.3,0.081,0.17,2,104.1,4.27,258,1.71,2.8,0.2,0,0.211,11.947,1.679,2.381,0,0.554,0.731,0.622,0.159,0.42,1.153,0.654,1.303,0.418
