id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
11951,Bell pepper. yellow,1,Peppers. sweet. yellow. raw,,,27,1,0.21,6.32,0.9,92.02,11,0.46,12,24,212,2,0.17,0.107,,0.117,0.3,183.5,0.028,0.025,0.89,0.168,0.168,26,0,0,10,0,0,0,0,0,0,0,0.031,0,0.031,0.042,0.037,0.013,0.012,0.052,0.032,0.044,0.02
11090,Broccoli,1,Broccoli. raw,,,34,2.82,0.37,6.64,2.6,89.3,47,0.73,21,66,316,33,0.41,0.049,,0.21,2.5,89.2,0.071,0.117,0.639,0.573,0.175,63,18.7,0,31,0.78,0,101.6,0.063,0.049,0.031,0.112,0.114,0,0.117,0.125,0.088,0.033,0.038,0.129,0.079,0.135,0.059
11098,Brussels sprouts,1,Brussels sprouts. raw,,,43,3.38,0.3,8.95,3.8,86,42,1.4,23,69,389,25,0.42,0.07,,0.337,1.6,85,0.139,0.09,0.745,0.309,0.219,61,19.1,0,38,0.88,0,177,0.099,0.045,0.023,0.153,0.062,0,0.098,0.155,0.12,0.037,0.032,0.152,0.132,0.154,0.076
11112,Red cabbage,1,Cabbage. red. raw,,,31,1.43,0.16,7.37,2.1,90.39,45,0.8,16,30,243,27,0.22,0.017,,0.243,0.6,57,0.064,0.069,0.418,0.147,0.209,18,17.1,0,56,0.11,0,38.2,0.045,0.034,0.012,0.08,0.021,0,0.036,0.048,0.039,0.012,0.014,0.046,0.034,0.049,0.024
11124,Carrot,1,Carrots. raw,,,41,0.93,0.24,9.58,2.8,88.29,33,0.3,12,35,320,69,0.24,0.045,,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19,8.8,0,835,0.66,0,13.2,0.002,0.1,0.012,0.102,0.032,0,0.061,0.069,0.191,0.012,0.02,0.102,0.077,0.101,0.04
11135,Cauliflower,1,Cauliflower. raw,,,25,1.92,0.28,4.97,2,92.07,22,0.42,15,44,299,30,0.27,0.039,,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57,44.3,0,0,0.08,0,15.5,0.015,0.016,0.034,0.031,0.13,0,0.065,0.125,0.076,0.02,0.02,0.106,0.071,0.217,0.056
11143,Celery,1,Celery. raw,,,14,0.69,0.17,2.97,1.6,95.43,40,0.2,11,24,260,80,0.13,0.035,,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36,6.1,0,22,0.27,0,29.3,0,0.079,0.032,0.079,0.042,0,0.02,0.027,0.02,0.009,0.005,0.032,0.021,0.027,0.012
11161,Collards,1,Collards. raw,,,32,3.02,0.61,5.42,4,89.62,232,0.47,27,25,213,17,0.21,0.046,,0.658,1.3,35.3,0.054,0.13,0.742,0.267,0.165,129,23.2,0,251,2.26,0,437.1,0.108,0.082,0.03,0.201,0.055,0,0.087,0.12,0.086,0.031,0.033,0.151,0.1,0.117,0.047
11167,Corn,1,Corn. sweet. yellow. raw,,,86,3.27,1.35,18.7,2,76.05,2,0.52,37,89,270,15,0.46,0.054,,0.163,0.6,6.8,0.155,0.055,1.77,0.717,0.093,42,23,0,9,0.07,0,0.3,0.014,0.472,0.432,0.487,0.325,0,0.15,0.185,0.129,0.023,0.067,0.348,0.129,0.137,0.089
11205,Cucumber,1,Cucumber. with peel. raw,,,15,0.65,0.11,3.63,0.5,95.23,16,0.28,13,24,147,2,0.2,0.041,,0.079,0.3,2.8,0.027,0.033,0.098,0.259,0.04,7,6,0,5,0.03,0,16.4,0.005,0.028,0.005,0.032,0.037,0,0.019,0.022,0.019,0.005,0.006,0.029,0.021,0.029,0.01
